time_s,v_m_s,omega_rad_s,clearance_m
2.040000000000000213e+01,7.722499871471626490e-06,-5.030447708201466611e-05,1.308148314069998985e+00
2.050000000000000000e+01,-4.836365534022397938e-05,4.756272000796830240e-05,1.308143720307894942e+00
2.060000000000000142e+01,3.721134237565440483e-06,3.526033707351456520e-05,1.308144073754621495e+00
2.070000000000000284e+01,1.720182967630086088e-05,-5.339893335666763552e-06,1.308145707644571498e+00
2.080000000000000071e+01,2.138393590852866351e-05,7.826444440427876570e-07,1.308147738766265444e+00
2.090000000000000213e+01,-1.918493493749916234e-05,-1.931996482118763375e-05,1.308145916513475671e+00
2.100000000000000000e+01,-2.047107232317369602e-05,3.322458546273047986e-06,1.308143972097886021e+00
2.110000000000000142e+01,1.756354159153134149e-05,3.142346264390673272e-06,1.308145640345616645e+00
2.120000000000000284e+01,-9.322479754212244576e-06,4.470368357051106301e-05,1.308144754863352022e+00
2.130000000000000071e+01,1.344302011295115361e-05,-1.643008959671156399e-05,1.308146031727328573e+00
2.140000000000000213e+01,-2.194197292405353564e-06,-4.905256402090198142e-05,1.308145823314851741e+00
2.150000000000000000e+01,8.841792678287692733e-06,4.332077113358093895e-05,1.308146663140397292e+00
2.160000000000000142e+01,-2.068370232270006978e-05,1.575989886516693250e-05,1.308144698530207428e+00
2.170000000000000284e+01,2.200446534651257294e-05,-5.983042519161138606e-05,1.308146788590001997e+00
2.180000000000000071e+01,-1.733499094176520205e-05,1.468653088319751138e-05,1.308145142049671250e+00
2.190000000000000213e+01,1.477933869752090512e-06,7.952429610698884266e-06,1.308145282429115541e+00
2.200000000000000000e+01,6.038689145188491300e-06,-4.005918918140866092e-06,1.308145856005272334e+00
2.210000000000000142e+01,-5.694399835071183372e-06,2.970951480724993987e-05,1.308145315130865294e+00
2.220000000000000284e+01,2.493024594472730525e-05,-4.922946455271186295e-05,1.308147683092407698e+00
2.230000000000000071e+01,2.018362042624293959e-06,-2.916670741055088500e-05,1.308147874803791355e+00
2.240000000000000213e+01,-1.388870099848157902e-05,-4.410192741100774777e-05,1.308146555603140637e+00
2.250000000000000000e+01,-4.065395986331782167e-05,6.759882890400650823e-05,1.308142694133541450e+00
2.260000000000000142e+01,4.120363467175662889e-05,-1.003795652165795360e-05,1.308146607804667072e+00
2.270000000000000284e+01,1.000539234548530713e-05,-1.250025317984203299e-06,1.308147558153738510e+00
2.280000000000000071e+01,-3.440910626516593962e-05,3.530607053502197307e-05,1.308144289850079911e+00
2.290000000000000213e+01,2.234204439212827617e-05,4.902523868373191707e-05,1.308146411977184620e+00
2.300000000000000000e+01,-4.944940170935894011e-06,1.594606593279847273e-05,1.308145942289846930e+00
2.310000000000000142e+01,2.389904491195888638e-05,-1.439199391541252926e-05,1.308148212301885494e+00
2.320000000000000284e+01,-2.026484412988045075e-06,-2.024070091481873501e-05,1.308148019819440622e+00
2.330000000000000071e+01,-1.699055985168252195e-05,-3.866935575245686318e-07,1.308146405996797101e+00
2.340000000000000213e+01,-2.050451239007282725e-06,6.054264414561989077e-05,1.308146211237798173e+00
2.350000000000000000e+01,2.430510270134359635e-05,-6.069192011908582790e-05,1.308148519816693112e+00
2.360000000000000142e+01,-2.836215613643503636e-05,4.235632230543354831e-05,1.308145825880128399e+00
2.370000000000000284e+01,2.084931491423236243e-05,-3.777732281871892805e-05,1.308147806217996090e+00
2.380000000000000071e+01,-3.329571313734217344e-06,-2.751294839348130544e-05,1.308147489963728427e+00
2.390000000000000213e+01,-1.992353853559592457e-05,4.801774602776302803e-05,1.308145597555181450e+00
2.400000000000000000e+01,1.603717301477698004e-05,-6.790551594275905101e-05,1.308147120820477793e+00
2.410000000000000142e+01,-1.171006001408946354e-05,1.871757359018892675e-05,1.308146008556601680e+00
2.420000000000000284e+01,1.252685681112455408e-05,-2.573480153930142456e-05,1.308147198402064504e+00
2.430000000000000071e+01,-1.768431422878883816e-05,8.343968223888630076e-05,1.308145518681542940e+00
2.440000000000000213e+01,3.809216742830081118e-05,1.557311368541314245e-07,1.308149136804577894e+00
2.450000000000000000e+01,-9.147150736864978482e-06,-3.809112292465274136e-05,1.308148267977135903e+00
2.460000000000000142e+01,-2.122436110553915962e-05,1.592178782031106188e-05,1.308146252012949207e+00
2.470000000000000284e+01,1.609957080464866075e-05,-6.534132398298021088e-05,1.308147781205763804e+00
2.480000000000000071e+01,-2.838800165140889509e-05,-1.496123180397442021e-05,1.308145084809694714e+00
2.490000000000000213e+01,2.736244668898697371e-05,-2.686737784351848901e-06,1.308147683796077931e+00
2.500000000000000000e+01,1.413061929985684126e-06,-3.349687140459609719e-05,1.308147818013953412e+00
2.510000000000000142e+01,-4.063678224258161775e-05,4.082401365604771543e-05,1.308143958177645727e+00
2.520000000000000284e+01,1.631777858816492802e-05,3.552024438935926648e-05,1.308145508100156507e+00
2.530000000000000071e+01,-4.290350297619580089e-06,2.848258546024433346e-05,1.308145100587393195e+00
2.540000000000000213e+01,2.002969933612781979e-05,1.941513150636054591e-05,1.308147003077960946e+00
2.550000000000000000e+01,9.662056774619202579e-06,7.988134180142263119e-06,1.308147920813268694e+00
2.560000000000000142e+01,3.724732153836994922e-06,-3.527104275718919574e-05,1.308148274601035776e+00
2.570000000000000284e+01,2.617497886643138996e-05,-5.189171754683540722e-05,1.308150760793003631e+00
2.580000000000000071e+01,-6.446708470453539619e-05,2.656401560726263239e-05,1.308144637471998051e+00
2.590000000000000213e+01,8.405894196965345636e-06,6.132590786394730847e-05,1.308145435893895980e+00
2.600000000000000000e+01,2.709131660256266366e-05,-7.014390744365054525e-05,1.308148009119213695e+00
2.610000000000000142e+01,-3.739673310143381245e-05,1.132229625548479557e-05,1.308144457042355713e+00
2.620000000000000284e+01,2.697231087158769372e-05,-1.119921212667206178e-05,1.308147018968857767e+00
2.630000000000000071e+01,9.730335929969283551e-06,-2.102186424668590903e-05,1.308147943191420470e+00
2.640000000000000213e+01,-2.453002389610973825e-05,4.572674142628088689e-05,1.308145613239393379e+00
2.650000000000000000e+01,1.800417571789624666e-05,-2.407251846738098916e-05,1.308147323339703849e+00
2.660000000000000142e+01,-1.620590507353438653e-05,-1.449719416023870222e-07,1.308145784044271176e+00
2.670000000000000284e+01,2.305639426767279454e-05,-2.447211035939717699e-05,1.308147974023995186e+00
2.680000000000000071e+01,-2.417849669985412328e-05,5.970456714776868623e-05,1.308145677461082679e+00
2.690000000000000213e+01,-3.023427692802399189e-06,3.375747594996231227e-05,1.308145390285349707e+00
2.700000000000000000e+01,1.953554015740903080e-05,9.985390166666018030e-06,1.308147245837313788e+00
2.710000000000000142e+01,1.481314486442798437e-05,-5.932766173728266923e-05,1.308148652839859372e+00
2.720000000000000284e+01,1.164338034949103512e-06,-6.988417862310598166e-05,1.308148763432842365e+00
2.730000000000000071e+01,-2.073286498877773866e-05,1.095436869556418169e-05,1.308146794146929137e+00
2.740000000000000213e+01,-1.710358198863900538e-05,6.481557107707903997e-05,1.308145169584866041e+00
2.750000000000000000e+01,2.119583112299865992e-05,-6.161616649784373845e-06,1.308147182839763500e+00
