time_s,x_m,y_m,theta_rad
2.370000000000000284e+01,4.875334962310501119e+00,3.608039006971158980e+00,6.758178332553559375e-01
2.380000000000000071e+01,4.875336588964936269e+00,3.608040311170021663e+00,6.758140555230740532e-01
2.390000000000000213e+01,4.875336329192450968e+00,3.608040102894465306e+00,6.758113042282346550e-01
2.400000000000000000e+01,4.875334774758547596e+00,3.608038856616359258e+00,6.758161060028374800e-01
2.410000000000000142e+01,4.875336025973507681e+00,3.608039859796455584e+00,6.758093154512432310e-01
2.420000000000000284e+01,4.875335112353505806e+00,3.608039127298301008e+00,6.758111872086022265e-01
2.430000000000000071e+01,4.875336089698605768e+00,3.608039910891289281e+00,6.758086137284482486e-01
2.440000000000000213e+01,4.875334709965941649e+00,3.608038804687205836e+00,6.758169576966721603e-01
2.450000000000000000e+01,4.875337681902277787e+00,3.608041187485268253e+00,6.758169732697858478e-01
2.460000000000000142e+01,4.875336968245084002e+00,3.608040615299043186e+00,6.758131641574933735e-01
2.470000000000000284e+01,4.875335312323509918e+00,3.608039287647438087e+00,6.758147563362754129e-01
2.480000000000000071e+01,4.875336568408084936e+00,3.608040294729034869e+00,6.758082222038771514e-01
2.490000000000000213e+01,4.875334353571539658e+00,3.608038518979769016e+00,6.758067260806968068e-01
2.500000000000000000e+01,4.875336488396679435e+00,3.608040230574496299e+00,6.758064574069183594e-01
2.510000000000000142e+01,4.875336598644159025e+00,3.608040318965295867e+00,6.758031077197779179e-01
2.520000000000000284e+01,4.875333428142742065e+00,3.608037777036603888e+00,6.758071901211435417e-01
2.530000000000000071e+01,4.875334701259557590e+00,3.608038797758188920e+00,6.758107421455824548e-01
2.540000000000000213e+01,4.875334366526399954e+00,3.608038529383879478e+00,6.758135904041284725e-01
2.550000000000000000e+01,4.875335929240101507e+00,3.608039782306240006e+00,6.758155319172790554e-01
2.560000000000000142e+01,4.875336683070938371e+00,3.608040386700549274e+00,6.758163307306970236e-01
2.570000000000000284e+01,4.875336973673262797e+00,3.608040619695367379e+00,6.758128036264212657e-01
2.580000000000000071e+01,4.875339015841905876e+00,3.608042257023195809e+00,6.758076144546665276e-01
2.590000000000000213e+01,4.875333986106931583e+00,3.608038224428969709e+00,6.758102708562272465e-01
2.600000000000000000e+01,4.875334641935098468e+00,3.608038750242613446e+00,6.758164034470136583e-01
